Orden;Tipo Contenedor;Modelo;Lote;Distrito;Barrio;Carga;Coordenda X;Coordenada Y;Latitud;Longitud;Código Situado;Dirección
1;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453579,583;4472272,06;40,399762223566;-3,547023187299;CS_194_072;CALLE FERENC PUSKAS, 219
2;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453579,583;4472272,06;40,399762223566;-3,547023187299;CS_194_072;CALLE FERENC PUSKAS, 219
3;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,477;4472311,149;40,400115364603;-3,546815180757;CS_194_010;CALLE FERENC PUSKAS, 219
4;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,477;4472311,149;40,400115364603;-3,546815180757;CS_194_010;CALLE FERENC PUSKAS, 219
5;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
6;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
7;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
8;PMB;E 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
9;Orgánica;O 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453597,48;4472317,8;40,400175282080;-3,546815630198;CL_194_006;CALLE FERENC PUSKAS, 231
10;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,49;4472201;40,399123058557;-3,546806999013;CS_194_048;CALLE FERENC PUSKAS, 201
11;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453597,49;4472201;40,399123058557;-3,546806999013;CS_194_048;CALLE FERENC PUSKAS, 201
12;Papel-Cartón;PC 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,411;4472567,773;40,402419076923;-3,548555137804;CS_194_050;CALLE SUERTES DE LA VILLA, 14
13;Vidrio;V 3100 CS;2;VICALVARO;EL CAÑAVERAL;Carga Superior;453451,411;4472567,773;40,402419076923;-3,548555137804;CS_194_050;CALLE SUERTES DE LA VILLA, 14
14;Resto;R 2750 CL;2;VICALVARO;EL CAÑAVERAL;Carga Lateral;453308,039;4472916,333;40,405551141259;-3,550270211456;CL_194_053;CALLE CERRO DEL CAMPO, 31
