TIPO_DATO;LOTE;COD_DIST;DISTRITO;COD_BARRIO;BARRIO;DIRECCION COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;MÁS INFORMACIÓN
CONTENEDOR DE ROPA;03;02;ARGANZUELA;025;DELICIAS;PASEO DE LAS DELICIAS, 123;PASEO;DE LAS;DELICIAS;Número;123;441037,1845;4471591,295;40,39283578;-3,69475192;PASEO DE LAS DELICIAS, 123;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;025;DELICIAS;CALLE DE LA ESTRELLA DENEBOLA, 5;CALLE;DE LA;ESTRELLA DENEBOLA;Número;5;442010,0508;4471732,207;40,39417349;-3,68330236;CALLE DE LA ESTRELLA DENEBOLA, 5 Punto Limpio Fijo;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;02;ARGANZUELA;021;IMPERIAL;PASEO   IMPERIAL, 20;PASEO; ;IMPERIAL;Número;20;439142,2829;4473250,507;40,40764644;-3,7172363;"PASEO   IMPERIAL, 20 Centro Deportivo Municipal ""Marqués de Samaranch""";"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;21;BARAJAS;211;ALAMEDA DE OSUNA;PLAZA DEL NAVIO, 4;PLAZA;DEL;NAVIO;Número;4;450150,6452;4478446,357;40,45518604;-3,58791235;"PLAZA DEL NAVIO, 4 Centro Integrado ""Teresa de Calcuta""";"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;21;BARAJAS;214;TIMON;CALLE DE ALHAURIN, 7;CALLE;DE;ALHAURIN;Número;7;450382,7036;4480530,011;40,47397074;-3,58533857;CALLE DE ALHAURIN, 7 Punto Limpio Fijo;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;11;CARABANCHEL;112;OPAÑEL;CALLE DE MERCEDES ARTEAGA, 43;CALLE;DE;MERCEDES ARTEAGA;Número;43;438644,8982;4471422,157;40,39113931;-3,72292157;CALLE DE MERCEDES ARTEAGA, 43;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;11;CARABANCHEL;116;BUENAVISTA;CALLE DEL CIDRO, 5;CALLE;DEL;CIDRO;Número;5;436674,5682;4468888,429;40,36816691;-3,74588353;CALLE DEL CIDRO, 5 Punto Limpio Fijo;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;11;CARABANCHEL;113;SAN ISIDRO;CALLE DEL TERCIO, 32;CALLE;DEL;TERCIO;Número;32;437947,6819;4471736,411;40,39391861;-3,73116656;CALLE DEL TERCIO, 32;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;11;CARABANCHEL;113;SAN ISIDRO;PLAZA DE ROGER DE FLOR, 9;PLAZA;DE;ROGER DE FLOR;Número;9;437853,8298;4471779,51;40,39429987;-3,73227655;PLAZA DE ROGER DE FLOR, 9;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;11;CARABANCHEL;116;BUENAVISTA;CALLE DEL PATRIMONIO DE LA HUMANIDAD, 33;CALLE;DEL;PATRIMONIO DE LA HUMANIDAD;Número;33;435192,2;4468182,1;40,36169007;-3,76327049;CALLE DEL PATRIMONIO DE LA HUMANIDAD, 33 Centro Atención Adolescentes Aspa;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;11;CARABANCHEL;116;BUENAVISTA;RONDA DE DON BOSCO, 18;RONDA;DE;DON BOSCO;Número;18;436071,3228;4469669,24;40,37515476;-3,75306662;RONDA DE DON BOSCO, 18;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;03;11;CARABANCHEL;116;BUENAVISTA;CALLE DE ANTONIA RODRIGUEZ SACRISTAN, 14;CALLE;DE;ANTONIA RODRIGUEZ SACRISTAN;Número;14;436928,1037;4469417,401;40,37295136;-3,74294981;CALLE DE ANTONIA RODRIGUEZ SACRISTAN, 14;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
