TIPO_DATO;DIRECCIÓN_COMPLETA;DIRECCIÓN_AUXILIAR;CLASE_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_DISTRITO;DISTRITO;UTMX;UTMY;LATITUD;LONGITUD;DÍA_SEMANA;TURNO;HORA_INICIO;HORA_FINAL;URL GOOGLE MAPS;RESIDUOS ADMISIBLES
PUNTO LIMPIO MOVIL;CALLE ARRIETA, 15;NULL;CALLE;ARRIETA;NUMERO;15;1;CENTRO;439675,8008;4474526,499;40,41918013;-3,711069993;MARTES;MAÑANA;12:15;14:15;https://goo.gl/maps/w4y1woxHyhGsQCZv9;http://run.gob.es/PuntoMOVILResiduos
PUNTO LIMPIO MOVIL;CALLE BARQUILLO, 7;NULL;CALLE;BARQUILLO;NUMERO;7;1;CENTRO;440971,8478;4474699,329;40,42083;-3,69581;SABADO;MAÑANA;07:45;09:45;https://goo.gl/maps/hsHdwffQauSr7Y4aA;http://run.gob.es/PuntoMOVILResiduos
PUNTO LIMPIO MOVIL;CALLE BENEFICENCIA,  FRENTE EL NUMERO 14, EN ACERA;FRENTE;CALLE;BENEFICENCIA;NUMERO;14;1;CENTRO;440702,7048;4475307,914;40.42629328647925;-3.6990391241605756;MARTES;MAÑANA;07:45;09:45;https://www.google.com/maps;http://run.gob.es/PuntoMOVILResiduos
PUNTO LIMPIO MOVIL;CALLE CONDE DUQUE, 30;NULL;CALLE;CONDE DUQUE;NUMERO;30;1;CENTRO;439762,852;4475482,275;40,42779649;-3,710134496;SABADO;TARDE;19:00;21:00;https://goo.gl/maps/jGjBMu8PS57ZCmaG9;http://run.gob.es/PuntoMOVILResiduos
PUNTO LIMPIO MOVIL;CALLE LOPE DE VEGA;NULL;CALLE;LOPE DE VEGA;NUMERO;s/n;1;CENTRO;440827,0687;4473984,492;40,41438013;-3,697449994;SABADO;MAÑANA;10:00;12:00;https://goo.gl/maps/EFj65q8ucc6CY2Et7;http://run.gob.es/PuntoMOVILResiduos
PUNTO LIMPIO MOVIL;CALLE PRINCIPE, 18;NULL;CALLE;PRINCIPE;NUMERO;18;1;CENTRO;440580,55;4474086,94;40,41528547;-3,700364984;MARTES;TARDE;19:00;21:00;https://goo.gl/maps/KiKKZ6x7jNVcx49DA;http://run.gob.es/PuntoMOVILResiduos
PUNTO LIMPIO MOVIL;CALLE REYES, 16;NULL;CALLE;REYES;NUMERO;16;1;CENTRO;439765,2238;4475078,946;40.42416329370671;-3.7100683331126345;VIERNES;TARDE;16:45;18:45;https://www.google.com/maps;http://run.gob.es/PuntoMOVILResiduos
PUNTO LIMPIO MOVIL;CALLE RIBERA DE CURTIDORES, 37- (A, B, C);NULL;CALLE;RIBERA DE CURTIDORES;NUMERO;37- (A, B, C);1;CENTRO;439996,735;4473123,762;40,40656682;-3,707154966;MARTES;TARDE;19:00;21:00;https://goo.gl/maps/jKvzJjt2WLoBHpaP6;http://run.gob.es/PuntoMOVILResiduos
PUNTO LIMPIO MOVIL;CALLE SAN ANDRES, 24 CARGA Y DESCARGA;CARGA Y DESCARGA;CALLE; SAN ANDRES;NUMERO;24;1;CENTRO;440331,0709;4475434,863;40.4274103259325;-3.7034318137911018;SABADO;TARDE;14:30;16:30;https://www.google.com/maps;http://run.gob.es/PuntoMOVILResiduos
PUNTO LIMPIO MOVIL;CALLE SANTA ISABEL, 47;NULL;CALLE;SANTA ISABEL;NUMERO;47;1;CENTRO;440935,101;4473450,872;40,40958069;-3,696127206;MARTES;TARDE;14:30;16:30;https://goo.gl/maps/jrMy4KLHSRpFJicAA;http://run.gob.es/PuntoMOVILResiduos
