TIPO DATO;UBICACIÓN;COD_DISTRITO;DISTRITO;COD_BARRIO;BARRIO;DIRECCIÓN COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NÚMERO;NÚMERO;UTM X;UTM Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;DÍA_SEMANA;OBSERVACIONES;RESIUDOS ADMISIBLES
Punto limpio móvil 24 horas;Vía pública;8;Fuencarral-El Pardo;088;El Goloso;Avenida del Monasterio de Arlanza, 24;Avenida;Del;Monasterio de Arlanza;número;24;441395,65;4484615,56;40,5101824;-3,6916945;Avenida del Monasterio de Arlanza, 24 esquina  Monasterio de Silos;Lunes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Gorrión;11;Carabanchel;113;San Isidro;Calle del Vicente Quesada, 11;Calle;Del;Vicente Quesada;número;11;438013,44;4472094,39;40,39721375;-3,730244543;Calle del Vicente Quesada, 11 frente (aparcamiento);Lunes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;16;Hortaleza;166;Valdefuentes;Glorieta de Luis Cubillo;Glorieta;De;Luis Cubillo;número;s/n;446696,36;4481304,84;40,4808324;-3,628912758;Glorieta de Luis Cubillo esquina Juan Daniel Fullaondo, 22;Lunes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;18;Villa de Vallecas;183;Ensanche de Vallecas;Avenida del Ensanche de Vallecas, 120;Avenida;Del;Ensanche de Vallecas;número;120;449676,15;4467872,32;40,3598718;-3,5926043;Avenida del Ensanche de Vallecas, 120 (metro Valdecarros);Lunes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;8;Fuencarral-El Pardo;088;El Goloso;Avenida de Santuario de Valverde frente 44;Avenida;De;Santuario de Valverde;número;44;440639,72;4484091,05;40,5053341;-3,700651;Avenida de Santuario de Valverde frente 44 esquina Monasterio del Paular;Martes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo San Fermín;12;Usera;123;San Fermín;Camino de Perales, 23;Camino;De;Perales;número;23;441761,11;4468923,70;40,36688552;-3,686184102;Camino de Perales, 23 (junto entrada de vehículos Caja Magica);Martes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo  Alcorisa - Camino Silvano ;16;Hortaleza;163;Canillas;Calle de Alcorisa, 41;Calle;De;Alcorisa;número;41;445763,60;4479222,97;40,46188058;-3,639761697;Calle de Alcorisa, 41 (en el bulevar);Martes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Sierra Gorda;18;Villa de Vallecas;182;Santa Eugenia;Calle de Agustín García Malla, s/n;Calle;De;Agustín García Malla;número;s/n;447652,34;4470338,72;40,38201551;-3,616713339;Calle de Agustín García Malla, s/n (zona peatonal);Martes;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;8;Fuencarral-El Pardo;086;Valverde;Avenida del Camino de Santiago, 50;Avenida;Del;Camino de Santiago;número;50;443260,16;4484405,69;40,50846385;-3,669697862;Avenida del Camino de Santiago, 50 c/v Santo Domingo de la Calzada (junto al metro Las Tablas);Miércoles;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;17;Villaverde;173;Butarque;Plaza de los Metales;Plaza;De los;Metales;número;s/n;442671,16;4465731,85;40,37964336;-3,621482012;Plaza de los Metales c/v Berrocal, 76 (junto Mercadona);Miércoles;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;19;Vicálvaro;194;El Cañaveral;Calle de Victoria Kent, 90;Calle;De;Victoria Kent;número;90;452828,49;4472028,23;40,49376767;-3,6566666;Calle de Victoria Kent, 90 c/v Luis Ocaña;Miércoles;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Vía pública;16;Hortaleza;166;Valdefuentes;Calle  de Félix Candela, 62;Calle;De;Félix Candela;número;62;447949,81;4483069,39;40,4971062;-3,61428435;Calle  de Félix Candela, 62 esquina Josefina Aldecoa;Miércoles;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de San Restituto;9;Moncloa-Aravaca;094;Valdezarza;Calle de San Restituto, 24;Calle;De;San Restituto;número;24;439642,81;4479597,63;40,46488277;-3,711525255;Calle de San Restituto, 24;Jueves;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
Punto limpio móvil 24 horas;Mercadillo de Vía Lusitana ;11;Carabanchel;117;Abrantes;Calle Vía Lusitana, 32;Calle;Null;Vía Lusitana;número;32;438615,78;4470500,49;40,38274771;-3,723180888;Calle Vía Lusitana,32 ( Plaza Coimbra);Jueves;www.madrid.es/puntoslimpios;Puntos Limpios Móviles 24 horas. Descripción y cantidades admisibles para particulares - Ayuntamiento de Madrid
