TIPO_DATO;DIRECCION_COMPLETA;DIRECCIÓN COMPLETA AMPLIADA;CENTRO;CLASE_VIAL;NOMBRE_VIAL;TIPO_NÚMERO;NÚMERO;COD_DISTRITO;DISTRITO;COORDENADA X;COORDENADA Y;LATITUD;LONGITUD;HORARIO;OBSERVACIONES;RESIUDOS ADMISIBLES
Punto Limpio de Proximidad;Calle Canarias 17;Calle Canarias, 17.  Centro Dotacional Integrado Arganzuela Ángel del Río;Centro Dotacional Integrado Arganzuela Ángel del Río;Calle;Canarias;número;17;02;Arganzuela;440979,75;4472617,96;40.402921;-3.695619;"Lunes a sábado de 9:00 a 21:00.
Agosto cerrado.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Paseo de la Chopera, 10;Paseo de la Chopera, 10 . Junta Municipal Casa del Reloj;"Junta Municipal ""Casa del Reloj""";Paseo;Chopera;número;10;02;Arganzuela;440716,19;4471658,16;40.39402;-3.69909;Lunes a viernes de 9:00 a 14:00.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Paseo Imperial, 20;Paseo Imperial, 20.  Centro Deportivo Municipal Marqués de Samaranch;Centro Deportivo Municipal Marqués de Samaranch;Paseo;Imperial;número;20;02;Arganzuela;439132,79;4473248,47;40.4076275279002;-3.71734797159274;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida de Logroño, 179;Avenida Logroño, 179.  Centro Cultural Gloria Fuertes;Centro Cultural Gloria Fuertes;Avenida;Logroño;número;179;21;Barajas;449666,56;4479054,1;40.4606319003654;-3.59366944399918;Lunes a viernes de 9:00 a 14:00 y de 17:00 a 19:00.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Medina del Pomar, 1;Calle Medina De Pomar, 1 esquina Calle Salinas del Rosio. Situado en vía pública;Calle Medina de Pomar Situado en vía pública;Calle;Medina de Pomar;número;1;21;Barajas;450425,9;4477949,72;40.4507286089313;-3.58462743811829;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Plaza del Navío, 4;Plaza Navío, 4. Centro de día municipal Teresa de Calcuta;Centro de día municipal Teresa de Calcuta;Plaza;Navío;número;4;21;Barajas;450174,67;4478461,15;40.4553208665291;-3.58763018046765;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Catorce Olivas, 1;Calle Catorce Olivas, 1. Centro Deportivo Municipal Francisco Fernández Ochoa;Centro Deportivo Municipal Francisco Fernández Ochoa;Calle;Catorce Olivas;número;1;11;Carabanchel;437098,04;4468624,91;40.3658251906701;-3.7408700321201;"Lunes a viernes de 8:00 a 21:30 horas.
Sábados, domingos y festivos de 9:00 a 20:00 horas.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Monseñor Oscar Romero, 41;Calle Monseñor Óscar Romero, 41.  Centro Deportivo Municipal La Mina;Centro Deportivo Municipal La Mina;Calle;Monseñor Oscar Romero;número;41;11;Carabanchel;436628,76;4470466,57;40.38238;-3.74658;"Lunes a viernes de 9:00 a 20:30.
Sábados y domingos de 9:00 a 14:30.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida de la Peseta, 59;Avenida de la Peseta, 59 esquina Calle Salvador Allende. Situado en vía pública;Avda. Peseta, 59. Situado en vía pública.;Avenida;Peseta;número;59;11;Carabanchel;435636,57;4468290,49;40.3627010416286;-3.75804831393895;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Alameda, 12;Calle Alameda, 12  esquina Calle Gobernador. Situado en vía pública;Calle Alameda, 12. Situado en vía pública.;Calle;Alameda;número;12;01;Centro;441121,89;4473668,78;40.4115569473566;-3.69394606551453;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Casino, 3;Calle Casino, 3.  Centro Comunitario Casino de la Reina;Centro Comunitario Casino de la Reina;Calle;Casino;número;3;01;Centro;440177,22;4473143,78;40.40676;-3.70503;"Lunes a viernes de 8:30 a 21:30.
Sábados de 10:00 a 15:00 y de 16:00 a 21:30.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Paseo Ciudad de Plasencia, s/n;Paseo Ciudad de Plasencia, s/n  frente nº 17. Parque Atenas;Parque Atenas;Paseo;Ciudad de Plasencia;número;s/n;01;Centro;438994,2419;4474054,56;40.414879;-3.719058;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Gran Vía de San Francisco, s/n;Avenida Gran Vía de San Francisco, frente 21 (enfrente del Parque Dalieda  Jardines de San Francisco el Grande). Situado en vía pública;Parque Dalieda  Jardines de San Francisco el Grande;Avenida;Gran Vía de San Francisco;número;s/n;01;Centro;439426,2556;4473509,455;40.410000;-3.71391444371133;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Plaza Santa Bárbara, s/n;Plaza Santa Barbara , 4 Situado en vía pública;Plaza de Santa Bárbara. Situado en vía pública.;Plaza;Santa Bárbara;número;s/n;01;Centro;440964,75;4475442,38;40.42752;-3.69596;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Padre Damián, 26;Calle Padre Damián, 26.  Instalación Deportiva Municipal Padre Damián;Instalación Deportiva Municipal Básica Padre Damián;Calle;Padre Damián;número;26;05;Chamartín;441827,77;4478668,02;40.4566421232014;-3.68608462380591;"Lunes a viernes de 9:00 a 22:00 horas.
Sábados y domingos de 9:00 a 21:00 horas.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle de Pio XII, 2;Avenida Pio XII, 2.  Centro Deportivo Municipal Chamartín;Centro Deportivo Municipal Chamartín  ;Avenida;Pio XII;número;2;05;Chamartín;442666,4106;4479162,001;40.461150401004;-3.67623896173565;"Lunes a viernes de 7:00 a 22:45.
Sábados de 8:00 a 20:45.
Domingos y festivos de 8:00 a 14:45 horas.
Cerrado días 25 de Diciembre, 1 de enero y 1 de mayo.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle de Pradillo, 33;Calle Pradillo, 33.  Centro Deportivo Municipal Pradillo;Centro Deportivo Municipal Pradillo;Calle;Pradillo;número;33;05;Chamartín;443048,99;4477822,76;40.4491122050472;-3.67160665969249;"Lunes a viernes de 8:45 a 20:30 horas.
Sábados y domingos de 8:45 a 14:15 horas.
Cerrado festivos y días 24 y 31 de diciembre.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Plaza Conde de Valle Suchil, 1;Plaza Conde de Valle Suchil, 1 Situado en vía pública;Plaza Conde de Valle Suchil. Situado en vía pública;Plaza;Conde de Valle Suchil;número;1;07;Chamberí;439995,9282;4475758,554;40.4303021784548;-3.7074130509632117;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Santander, 2;Calle Santander, 2.  Centro Deportivo Municipal Vallehermoso;Centro Deportivo Municipal Vallehermoso;Calle;Santander;número;2;07;Chamberí;439838,4;4477151,83;40.442891115373946 ;-3.7093716;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida Daroca, 54 A;Avenida Daroca, 54 A. Centro Municipal de Mayores Manuel Alexandre;Centro Municipal de Mayores Manuel Alexandre;Avenida;Daroca;número;54 A;15;Ciudad Lineal;445808,41;4475668,26;40.4298877429261;-3.63888382921123;"Invierno de 9:00 a 21:00.
Verano de 9:00 a 21:00.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Francisco Rioja, 10;Calle Francisco Rioja, 10.  Centro Deportivo Municipal Pueblo Nuevo;Centro Deportivo Municipal Pueblo Nuevo;Calle;Francisco Rioja;número;10;15;Ciudad Lineal;448329,56;4477170,1;40.4435776599922;-3.6092848527172;"Lunes a viernes de 9:00 a 20:30 horas (de septiembre a julio).
Cerrado festivos.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle José del Hierro, 5;Calle José del Hierro, 5. Centro Deportivo Municipal Concepción;Centro Deportivo Municipal Concepción;Calle;José del Hierro;número;5;15;Ciudad Lineal;445003,98;4476493,24;40.437266819585;-3.64843835536981;"Lunes a viernes de 8:30 a 14:30 y de 14:45 a 21:00.
Sábados, domingos y festivos de 8:30 a 15:00.
Cerrado días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Brunete, 1;Calle Brunete, 1.  Instalación Deportiva Municipal Básica Brunete;Instalación Deportiva Municipal Básica Brunete;Calle;Brunete;número;1;08;Fuencarral - El Pardo;434449,09;4485392,88;40.5166719052394;-3.7737972900086;Todos los días de 9:00 a 22:00.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida Camino de Santiago, 25;Avenida Camino de Santiago, 25  junto a la puerta de Instalación Deportiva Las Tablas;Instalación Deportiva Municipal Básica Pádel Madrid Las Tablas;Avenida;Camino de Santiago;número;25;08;Fuencarral - El Pardo;442884,93;4483775,52;40.5027260029654;-3.67407733906009;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida Monforte de Lemos, 13;Avenida Monforte de  Lemos, 13.  Centro Deportivo Municipal Vicente del Bosque;Centro Deportivo Municipal Vicente del Bosque;Avenida;Monforte de Lemos;número;13;08;Fuencarral - El Pardo;441216,13;4481146,42;40.47892553119;-3.69352744882939;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Glorieta Pradera de Vaquerizas, 9;Glorieta Pradera de Vaquerizas, 9. Centro Cultural Alfredo Kraus;Centro Cultural Alfredo Kraus;Glorieta;Pradera de Vaquerizas;número;9;08;Fuencarral - El Pardo;438847,13;4482486,68;40.4908279573918;-3.72160395242089;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Bacares, 24;Calle Bacares, 24 esquina Calle Vélez Rubio. Situado en vía pública;Calle Bacares, 24. Situado en vía pública;Calle;Bacares;número;24;16;Hortaleza;443829,3;4480884,7;40.4767487123401;-3.66267629602687;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida Las Fuerzas Armadas, 10;Avenida Las Fuerzas Armadas, 10.  Parque Forestal Valdebebas (entrada 6);Parque Forestal Valdebebas (entrada 6);Avenida;Las Fuerzas Armadas;número;10;16;Hortaleza;445957,91;4481824,77;40.4853585719818;-3.63764555790457;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida Los Andes, 46;Avenida Los Andes, 46. Situado en vía pública;Avda. Los Andes. Situado en vía pública;Avenida;Los Andes;número;46;16;Hortaleza;447512,28;4478527,18;40.4557518230652;-3.61903365091868;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Mar de las Antillas, 2;Calle Mar de las Antillas, 2. Parque Huerta de la Salud;Parque Huerta de la Salud;Calle;Mar de las Antillas;número;2;16;Hortaleza;445310,66;4480541,99;40.4737602876232;-3.64517140023869;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Princesa de Éboli, 29;Calle Princesa de Éboli, 29. Centro Cultural Sanchinarro;Centro Cultural Sanchinarro;Calle;Princesa de Éboli;número;29;16;Hortaleza;444462,27;4482376,5;40.49023;-3.65534;"Lunes a viernes de 9:00 a 22:00.
Sábados y domingos de 10:00 a 22:00.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Camarena, 10;Calle Camarena, 10. Centro Cultural Fernando de los Ríos;Centro Cultural Fernando de los Ríos;Calle;Camarena;número;10;10;Latina;435789,54;4471956,62;40.4628208066151;-3.58746493914505;"Lunes a viernes de 9:00 a 14:00 y de 16:00 a 18:00.
Julio de lunes a viernes de 9:00 a 14:00.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Paseo Lanceros, 2;Paseo Lanceros, 2. Jardines del Teniente Coronel Vesteiro;Jardines del Teniente Coronel Vesteiro;Paseo;Lanceros;número;2;10;Latina;432654,3042;4470153,43;40.37924753149876;-3.7933659947249554;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Rafael Finat, 47;Calle Rafael Finat, 47. Centro Municipal de Mayores Ciudad de Méjico;Centro Municipal de Mayores Ciudad de Méjico;Calle;Rafael Finat;número;47;10;Latina;434708,4;4470170,3;40.3795628510999;-3.76917154478;"Lunes a viernes de 9:00 a 21:00.
Fines de semana y festivos de 10:00 a 14:00 y de 16:00 a 21:00.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Plaza Moncloa, 1;Plaza Moncloa, 1. Junta Municipal de Distrito de Moncloa-Aravaca;Junta Municipal de Distrito de Moncloa-Aravaca;Plaza;Moncloa;número;1;09;Moncloa - Aravaca;439054,11;4476324,29;40.43533;-3.71857;"Lunes a jueves de 8:30 a 15:00.
Viernes de 8:30 a 14:00.
Sábados y domingos cerrado";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Pedro Justo Dorado Dellmans, 10;Calle Pedro Justo Dorado Dellmans, 10. Parque Almansa;Parque Almansa;Calle;Pedro Justo Dorado Dellmans;número;10;09;Moncloa - Aravaca;439545,43;4477766,66;40.4483594217018;-3.71291483451281;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida Valladolid, 37;Avenida Valladolid, 37. Situado en vía pública;Avda. Valladolid, 37. Situado en vía pública;Avenida;Valladolid;número;37;09;Moncloa - Aravaca;438152,4;4475471,99;40.427585672253;-3.72911764167352;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Zarza, 20;Calle Zarza, 20. Oficina auxiliar Atención a la Ciudadanía de Aravaca;Oficina auxiliar Atención a la Ciudadanía de Aravaca;Calle;Zarza;número;20;09;Moncloa - Aravaca;433370,48;4478936,985;40.45843;-3.78585;"Lunes a viernes de 8:30 a 14:00.
Cerrado agosto, los sábados y los días 24 y 31 de diciembre.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Arroyo Belincoso, 11;Calle Arroyo Belincoso, 11. Biblioteca Pública Municipal Miguel Delibes;"Biblioteca Pública Municipal “Miguel Delibes""";Calle;Arroyo Belincoso;número;11;14;Moratalaz;444505,84;4475623,91;40.4294023357778;-3.65423547760868;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Encomienda de Palacios, 190;Calle Encomienda de Palacios, 190. Centro Municipal de Mayores Nicanor Barroso;Centro Municipal de Mayores Nicanor Barroso;Calle;Encomienda de Palacios;número;190;14;Moratalaz;445516,96;4472229,25;40.3988880776292;-3.64202510282292;Lunes a viernes de 8:15 a 18:00.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Concejo de Teverga, 1;Calle Concejo de Teverga, 1. Centro Cultural Lope de Vega;Centro Cultural Lope de Vega;Calle;Concejo de Teverga;número;1;13;Puente de Vallecas;442995,89;4470873,96;40.38651;-3.67161;Lunes a Viernes de 9:00 a 13:30 y de 17:00 a 19:00.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida Glorietas, 19;Avenida Glorietas, 19. Centro Cultural El Pozo del tío Raimundo;"Centro Cultural ""El Pozo del tío Raimundo""";Avenida;Glorietas;número;19;13;Puente de Vallecas;443976,61;4469457,58;40.3738170058399;-3.65993163091511;"Lunes a viernes de 9:00 a 13:45 y de 17:00 a 18:45.
Agosto cerrado.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Plaza Daoiz y Velarde, 1;Plaza Daoiz y Velarde, 1. Junta Municipal de Distrito Retiro;Junta Municipal de Distrito Retiro;Plaza;Daoiz y Velarde;número;1;03;Retiro;442514,45;4472633,34;40.40232649;-3.677440719;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Pez Austral, 6;Calle Pez Austral, 6. Centro Municipal de Mayores La Estrella;Centro Municipal de Mayores La Estrella ;Calle;Pez Austral;número;6;03;Retiro;443472,86;4473849,45;40.4133474985405;-3.66625505299277;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Alcalde Sainz de Baranda, 94;Calle Alcalde Sainz de Baranda, 94. Instalación Deportiva Municipal Torrespaña;Instalación Deportiva Básica Municipal Torrespaña;Calle;Alcalde Sainz de Baranda;número;94;04;Salamanca;443945,18;4474719,62;40.4212184130843;-3.66076510878078;Lunes a domingo de 9:00 a 22:00. ;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Antonia Merced, 3;Calle Antonia Merced, 3. Situado en vía pública;Calle Antonia Merced, 3. Situado en vía pública;Calle;Antonia Merced;número;3;04;Salamanca;442860,56;4474994,99;40.4236253155009;-3.6735743465285;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Plaza Manuel Becerra, 8;Plaza Manuel Becerra, 8. Parque Eva Duarte;Parque Eva Duarte;Plaza;Manuel Becerra;número;8;04;Salamanca;443276,95;4475564,3;40.4287824491002;-3.66871694523763;de 7:00 a 24:00 horas.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Esfinge, 35;Calle Esfinge, 35. Centro Municipal de Mayores Canillejas;Centro Municipal de Mayores Canillejas;Calle;Esfinge;número;35;20;San Blas - Canillejas;448329,56;4477170,1;40.4435776599922;-3.6092848527172;Lunes a viernes: de 9:30 a 14:00 y de 16:00 a 20:30.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Avenida Niza, 8;Avenida Niza, 8. Centro Deportivo Pepu Hernández;Centro Deportivo Pepu Hernández;Avenida;Niza;número;8;20;San Blas - Canillejas;448569,64;4475399,24;40.4276395457054;-3.60631072242836;"Lunes a viernes de 8:00 a 23:00.
Sábados de 9:00 a 22:00.
Domingos y festivos de 9:00 a 15.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Pobladura del Valle, 13;Calle Pobladura del Valle, 13. Centro Municipal de Mayores Pablo Casals;Centro Municipal de Mayores Pablo Casals;Calle;Pobladura del Valle;número;13;20;San Blas - Canillejas;447403,43;4475213,67;40.425894902589;-3.62004302418122;Lunes a domingo de 9:30 a 14:00 y de 16:00 a 20:30.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle San Román del Valle, 8;Calle San Román del Valle, 8. Centro Cultural Antonio Machado;Centro Cultural Antonio Machado;Calle;San Román del Valle;número;8;20;San Blas - Canillejas;447255,91;4474591,58;40.420281396531;-3.62173039001844;"Lunes a viernes de 10:00 a 13:30 y de 17 a 18:30 horas.
Cerrado  Agosto.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle  Bravo Murillo, 376;Calle  Bravo Murillo, 376. Centro Deportivo Municipal Triángulo de Oro;Centro Deportivo Municipal Triángulo de Oro;Calle;Bravo Murillo;número;376;06;Tetuán;441294,37;4479609,24;40.46508352;-3.692462181;Todos los días 24 horas. Situado en vía pública;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Plaza Donoso, 5;Plaza Donoso, 5. Centro Cultural Eduardo Úrculo;Centro Cultural Eduardo Úrculo;Plaza;Donoso;número;5;06;Tetuán;440862,56;4480048,22;40.4690074092475;-3.69759615356091;"Lunes a viernes, de 9:30 a 13:30.
Lunes a jueves 16:30 a 18:00.
Julio de lunes a viernes de 9:30 a 13:30.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Francos Rodríguez, 67;Calle Francos Rodriguez, 67. Biblioteca Municipal Manuel Vázquez Montalbán;"Biblioteca Municipal ""Manuel Vázquez Montalbán""";Calle;Francos Rodríguez;número;67;06;Tetuán;439755,53;4478780,64;40.4575090131827;-3.71053360560639;"Lunes a viernes de 9:30 a 14:00 y de 15:30 a 20:00.
Del 15 de junio al 15 de septiembre de lunes a viernes de 8:30 a 20:00.
Cerrado festivos y los días 24 y 31 de diciembre.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle General Perón, s/n;Avenida General Perón, 30. Situado en vía pública;Avda. General Perón, s/n frente al n.º 30. Situado en vía pública;Avenida;General Perón;número;s/n;06;Tetuán;441104,86;4478171,95;40.4521223947971;-3.69456403253084;Todos los días 24 horas. Situado en vía pública.;www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
Punto Limpio de Proximidad;Calle Hierbabuena, 2;Calle Hierbabuena, 2.  Centro Deportivo Municipal Playa Victoria;"Centro Deportivo Municipal ""Playa Victoria""";Calle;Hierbabuena;número;2;06;Tetuán;440472,27;4478972,37;40.4592878454263;-3.70209883742551;"Lunes a viernes de 8:30 a 21:00.
Sábados y festivos de 9:00 a 14:00.
Cerrado domingos, días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.";www.madrid.es/puntoslimpios;http://run.gob.es/PuntoPROXIMIDADResiduos
