CONTENEDOR RESTO (TAPA NARANJA) ;CONTENEDOR ORGÁNICA (TAPA MARRÓN);CONTENEDOR PLÁSTICOS, METALES Y BRIK (AMARILLO);CONTENEDOR PAPEL-CARTÓN (AZUL);CONTENEDOR VIDRIO (VERDE);PUNTO LIMPIO FIJO;PUNTO LIMPIO MÓVIL;PUNTO LIMPIO DE PROXIMIDAD;PUNTE SIGRE;MARQUESINA PARADAS AUTOBÚS;CENTRO DE SALUD;SERVICIO DE RECOGIDA DE ANIMALES MUERTOS;CONTENEDOR DE RESIDUOS TEXTILES;CONTENEDOR DE RECOGIDA DE ACEITE VEGETAL USADO;TIENDA ESPECIALIZADA;TALLERES;ÓPTICA;RETIRADA GRATUITA 010: RECOGIDA DE MUEBLES Y ENSERES;SELUR
Arena de gato o similar;Bolsas biodegradables;Briks de leche, nata, zumo, batido, vino, caldo…;Papel: todo tipo de papel y cartón que no se encuentren manchados de grasa o pintura;Botellas de vidrio, de zumos, refrescos, cervezas, mostos, sidras, vinos, licores… de cualquier color;Aceite vegetal de cocina (producción doméstica);Aceite vegetal de cocina (5 Litros);Aceite vegetal de cocina (5 Litros);Medicamentos y sus envases;Pilas alcalinas/salinas y de botón usadas;Jeringuillas;Animales muertos;Ropa y calzado usados;Aceite vegetal de cocina;Los residuos de aparatos eléctricos y electrónios (RAEE´s), menores de 25 cm pueden ser depositados en superficies de venta de más de 400 m2, así como los RAEES más voluminosos en superficies de venta cuando se adquiera otro producto nuevo.;Neumáticos al sustituir los antiguos;Gafas (de sol y de ver);Frigoríficos, radiadores, lavavajillas, cocinas, lavadoras, etc;Uralita
Excrementos de animales domésticos;Servilletas y papel manchadas de grasa, aceite o restos de comida;"Envases de plástico para alimentación: botellas de bebidas, aceite, salsas, envases de plástico de productos lácteos y sus tapas: yogures, mantequillas... bandejas, cajas y embalajes de ""corcho blanco"" o ""poliespán"" usado en alimentación y como protector de productos frágiles, hueveras de plástico, vasos y platos de plástico desechables, tapones y tapas de plástico, mallas de frutas y verduras…";Todo tipo de envases de cartón o papel, como cajas de zapatos, cereales…;Tarros de vidrio de conservas, mermeladas o salsas;Ropa y calzado usado (producción doméstica);Ropa y calzado usado (producción doméstica);Ropa y calzado usado (producción doméstica);;;;;Bolsos, cinturones y complementos de vestir;;;;;Muebles y enseres;Cristales
Bombilla convencional y halógena (Punto limpio - todos);Restos de frutas y verduras;Envases de plástico de productos de aseo y limpieza: botes de productos de aseo no aerosoles, botes de limpieza vacíos: jabones de baño, detergentes...;Hojas, cuadernos, sobres (con sellos pegados inclusive), periódicos, revistas, y demás productos de papel y cartón;Frascos de vidrio con roll-on o atomizador;Cápsulas de café (producción doméstica);Cápsulas de café (producción doméstica);Cápsulas de café (producción doméstica);;;;;Muñecos de peluche;;;;;Cristal plano de ventanas, cuadros o espejos;Colchón con chinches
Cerámica y porcelana;Frutos secos;Envases de cosméticos de plástico (envases de maquillaje, pincel de pintauñas, pintalabios… );Billetes de metro ;Envases de cosméticos de vidrio (envases de maquillaje, pincel de pintauñas, pintalabios, etc.);Radiografías (50 unidades);Radiografías (50 unidades);Radiografías (15 unidades);;;;;;;;;;;
Guantes de látex, nitrilo;Restos de comidas;Envases de metales: aerosoles vacíos: desodorantes, limpiadores domésticos..., botes de bebidas, latas de conserva, platos y bandejas de aluminio, chapas y tapas de metal…;Servilletas manchadas de polvo o húmedas de agua (sin manchar);Frascos de colonia, esmaltes de uñas…;Aerosoles (10 unidades);Aerosoles (5 unidades);Aerosoles (5 unidades);;;;;;;;;;;
Goma Eva/gomaespuma;Restos de carnes o pescados;Cajas de madera, de vino, fresas, puros, estuches… (envases domésticos). ;"Sobres (plástico/papel): Contenedor azul para sobres de papel; separar la ventanilla de plástico y tirarla en el contenedor amarillo";Recipientes velas vidrio;Pilas alcalinas, salinas y baterías usadas (producción doméstica);Pilas alcalinas, salinas y baterías usadas (producción doméstica);Pilas alcalinas, salinas y baterías usadas (producción doméstica);;;;;;;;;;;
Pañales y compresas;Papel y cartón sucios de aceite;Bolsas y envoltorios de plástico y aluminio: bolsas de plástico para alimentos, bolsas y recipientes de aluminio para alimentos, papel de aluminio, bolsas de supermercado, envases  al vacío, envoltorios de plástico, film de polietileno...;Envoltorio de pan (de papel);;Cartuchos de tinta y tóner (4 unidades);Cartuchos de tinta y tóner (4 unidades);Cartuchos de tinta y tóner (4 unidades);;;;;;;;;;;
Toallitas húmedas, hilo dental;Cáscaras de huevo, de marisco y frutos secos;Plástico de los envases tipo blíster: donde vienen las pilas, las cuchillas de afeitar…;Guías telefónicas, folletos y propaganda;;Bombillas de bajo consumo y tubos fluorescentes (5 unidades) ;Bombillas de bajo consumo y tubos fluorescentes (3 unidades);Bombillas de bajo consumo y tubos fluorescentes (3 unidades);;;;;;;;;;;
Residuos de pequeñas curas como tiritas, esparadrapo, gasas, vendas, algodón…;Posos de café;Papel de aluminio o film;Hueveras de cartón;;CD´s, DVD´s, casetes... y sus embalajes (50 unidades);CD´s, DVD´s, casetes... y sus embalajes (20 unidades);CD´s, DVD´s, casetes... y sus embalajes  (10 unidades);;;;;;;;;;;
Papel: servilletas, papel de cocina, folios... y cartón sucios (de pintura o de otros líquidos que no son de uso alimentario…);Restos de infusiones;Papel de plata de los paquetes de cigarro;Tubos y canutos de cartón;;Cintas de video (50 unidades);Cintas de video (20 unidades);Cintas de video (10 unidades);;;;;;;;;;;
Encerados;Cerillas;Palo de caramelo;Bases de cartón de los envoltorios de productos;;"Pequeños aparatos elécrtricos y electrónicos (RAEE´s): mayoritariamente lavadoras, lavavajillas, secadoras, cocinas, etc; ordenadores, chatarra electrónica, televisores, reproductores, equipos de sonido (6 unidades); frigoríficos, congeladores, acondicionadores de aire, etc (1 unidad); ordenadores y chatarra electrónica y televisores (1 unidad); teléfonos móviles y aparatos eléctricos menores (generación doméstica), patinete eléctrico (1 unidad, excepto batería), paneles fotovoltaicos (1 o 2).*ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (producción doméstica) ";Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ;Pequeños aparatos elécrtricos y electrónicos (RAEE´s): ebooks, MP3, MP4, MP5, Ipods, tablets, mandos de televisión, USB´s y teléfonos móviles, lectores de DVDs y CDs… (1 unidad) ;;;;;;;;;;;
Pelo;Serrín;Otros residuos de plástico y metal (no envases), siempre que cumplan con los siguientes requisitos: no superar el tamaño de la boca del contenedor amarillo y no estar sujetos a otro sistema de recogida selectiva;;;Envases  (producción doméstica);Envases  (producción doméstica);Maquinillas de afeitar, depilar y cuchillas;;;;;;;;;;;
Plástico que no sea envases, bolsas ni envoltorios, como muñecos, maquinillas de afeitar, agujas de coser, tejer, de plástico…;Pequeños restos de poda y jardinería: plantas, hojarasca, ramos de flores…;;;;Envases contaminados (producción doméstica);Envases contaminados (6 unidades);;;;;;;;;;;;
Residuos de limpieza doméstica: Polvo, restos de barrer, bolsas de aspiradora…;;;;;Baterías de automovil (2 unidades);Baterías de automovil (1 unidades);;;;;;;;;;;;
Adhesivos: celo, cintas de embalar, pegatinas…;;;;;Pintura, disolventes y envases con restos de residuos peligrosos domésticos (5 Kg);Pintura y disolventes (5 Kg);;;;;;;;;;;;
Sellos adhesivos sin usar;;;;;Aceite mineral o sintético de motor (10 Litros);Aceite mineral o sintético de motor (5 Litros);;;;;;;;;;;;
Cristal: vasos, vajillas, copas u otros objetos de cristal (en pequeñas cantidades);;;;;Jeringuillas y agujas hipodérmicas de origen doméstico: 10 unidades;Jeringuillas y agujas hipodérmicas de origen doméstico: 10 unidades;;;;;;;;;;;;
Pírex;;;;;Neumáticos de bicicleta: 3 unidades;Neumáticos de bicicleta: 2 unidades (*antes 1 unidad);;;;;;;;;;;;
Espejos rotos (en pequeñas cantidades);;;;;Tapones de plástico de recipientes domésticos.;Tapones de plástico de recipientes domésticos.;;;;;;;;;;;;
Fotografías;;;;;Metales (producción doméstica);Pequeño menaje metálico de cocina: 2 unidades. La máxima dimensión no debe superar los 40 cm de longitud (no se contabilizará el mango de sartenes en esta limitación). Sartenes, ollas, cazos, espumaderas y similares;;;;;;;;;;;;
Chicles;;;;;Vidrio  (producción doméstica);Maquinillas de afeitar, depilar y cuchillas: 10 unidades;;;;;;;;;;;;
Tetinas de biberones;;;;;Papel y cartón (producción doméstica);;;;;;;;;;;;;
Funda de gafas;;;;;Cristal plano de ventanas, cuadros, vitrocerámicas o espejos;;;;;;;;;;;;;
Gafas de sol/ de ver y su cristal ;;;;;Frigoríficos y aires acondicionados (1 unidad);;;;;;;;;;;;;
Botones;;;;;Lavavajillas, cocinas, lavadoras, tv, etc (6 unidades);;;;;;;;;;;;;
Espumaderas de teflón;;;;;Maderas (hasta 150 Kg);;;;;;;;;;;;;
Escoba, cepillo, plumero, fregona;;;;;Residuos voluminosos y enseres: muebles, colchones, somieres, marcos y puertas, cajas, cristal plano, etc. (5 unidades);;;;;;;;;;;;;
Esponjas, estropajos, bayetas;;;;;Escombros de pequeñas obras domésticas (120 Kg/4 sacos pequeños);;;;;;;;;;;;;
Cepillos de dientes, cepillos del pelo;;;;;Restos de poda (producción doméstica);;;;;;;;;;;;;
Colillas;;;;;Termómetros o elementos que contengan mercurio (2 unidades);;;;;;;;;;;;;
Lentillas;;;;;Medicamentos y sus envases (1 Kg);;;;;;;;;;;;;
Plastilina, fimo;;;;;Pequeñas bombonas de gas de hasta 10 litros de volumen (tipo camping gas, helio...): 1 unidad;;;;;;;;;;;;;
Bolsas de sílice (antihumedad);;;;;Porexpán  de grandes embalajes domésticos.;;;;;;;;;;;;;
Restos de escayola, arcillas en pequeñas cantidades;;;;;Maquinillas de afeitar, depilar y cuchillas: 10 unidades;;;;;;;;;;;;;
Gelatinas hidropónicas;;;;;;;;;;;;;;;;;;
Piedras de peceras;;;;;;;;;;;;;;;;;;
Rotuladores de pintar, permanentes y fluorescentes;;;;;;;;;;;;;;;;;;
Pinturas de niños, ceras;;;;;;;;;;;;;;;;;;
Lápices de madera;;;;;;;;;;;;;;;;;;
Restos de enseres de madera (en pequeñas cantidades);;;;;;;;;;;;;;;;;;
Reglas, escuadras, cartabón, semicirculo…;;;;;;;;;;;;;;;;;;
Recipientes de cocina de cristal, de madera y de plástico;;;;;;;;;;;;;;;;;;
Adornos navideños, espumillón;;;;;;;;;;;;;;;;;;
Pelucas ;;;;;;;;;;;;;;;;;;
Cubiertos y pequeños objetos metálicos: llaves, cerraduras;;;;;;;;;;;;;;;;;;
Coleteros, pulseras de tela, goma…;;;;;;;;;;;;;;;;;;
Pelotas: de fútbol, baloncesto, tenis…;;;;;;;;;;;;;;;;;;
Palas y raquetas: de ténis, de pádel… ;;;;;;;;;;;;;;;;;;
Goma de borrar;;;;;;;;;;;;;;;;;;
Tapones de corcho;;;;;;;;;;;;;;;;;;
Tippex (Resto - Naranja);;;;;;;;;;;;;;;;;;
